№,проба,группа,шифр крысы,G-CSF,G-CSF,G-CSF,G-CSF,Eotaxin,Eotaxin,Eotaxin,Eotaxin,GM-CSF,GM-CSF,GM-CSF,GM-CSF,IL-1a,IL-1a,IL-1a,IL-1a,IL4,IL4,IL4,IL4,IL1b,IL1b,IL1b,IL1b,IL2,IL2,IL2,IL2,IL6,IL6,IL6,IL6,IL-13,IL-13,IL-13,IL-13,IL10,IL10,IL10,IL10,IL12p75,IL12p75,IL12p75,IL12p75,EGF,EGF,EGF,EGF,Leptin,Leptin,Leptin,Leptin,MIP-1a,MIP-1a,MIP-1a,MIP-1a,IFNg,IFNg,IFNg,IFNg,IL5,IL5,IL5,IL5,IL17a,IL17a,IL17a,IL17a,IL18,IL18,IL18,IL18,MCP1,MCP1,MCP1,MCP1,IP10,IP10,IP10,IP10,GRO/KC,GRO/KC,GRO/KC,GRO/KC,VEGF,VEGF,VEGF,VEGF,Fraktalkine,Fraktalkine,Fraktalkine,Fraktalkine,LIX,LIX,LIX,LIX,MIP2,MIP2,MIP2,MIP2,TNFa,TNFa,TNFa,TNFa,RANTES,RANTES,RANTES,RANTES
0,0,0,0,0,3,7,14,0,3,7,14,0,3,7,14,0,3,7,14,0,3,7,14,0,3,7,14,0,3,7,14,0,3,7,14,0,3,7,14,0,3,7,14,0,3,7,14,0,3,7,14,0,3,7,14,0,3,7,14,0,3,7,14,0,3,7,14,0,3,7,14,0,3,7,14,0,3,7,14,0,3,7,14,0,3,7,14,0,3,7,14,0,3,7,14,0,3,7,14,0,3,7,14,0,3,7,14,0,3,7,14
1,11,Шов NaCl,115,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,12.2,12.2,12.2,12.2,1785.36,12.2,12.2,1903.07,4.9,4.9,4.9,4.9,499.51,301.65,728.85,707.14,2265.3,688.63,862.17,1205.13,73.2,73.2,73.2,73.2,4.9,4.9,4.9,4.9,1177.35,488.83,954.11,1073.54,371.27,560.3,455.37,659.22,230,93.65,86.29,287.38,15538.98,5902.94,8493.73,10028.15,396.55,272.08,350.85,425.22,14.6,14.6,14.6,14.6,4.9,4.9,4.9,539.12,7.3,7.3,7.3,171.09,3560.91,2497.14,3354.27,4049.23,2807.52,2928.17,3616.34,3568.07,1310.45,858.48,1331.89,1323.32,14.6,14.6,14.6,14.6,659.58,561.51,575.11,625.03,328.85,268.18,340.1,328.85,4669.96,4545.62,7113.31,6339.98,24.4,24.4,24.4,2138.77,2.4,2.4,2.4,115.23,6384.62,5654.74,6675.94,7406.5
2,12,Шов NaCl,116,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,820.72,12.2,12.2,12.2,3086.81,12.2,12.2,1715.11,4.9,4.9,4.9,4.9,896.71,280.49,584.33,441.06,1715.51,785.81,1935.92,1287.61,73.2,73.2,73.2,73.2,4.9,4.9,4.9,4.9,1910.19,545.99,998.2,934.28,341.87,585.53,399.92,585.53,196.24,55.47,45.1,100.1,18078.55,7374.71,8138.63,10401.58,213.26,197.6,349.51,193.14,14.6,14.6,14.6,14.6,369.62,556.63,548.19,556.63,7.3,7.3,7.3,7.3,2224.58,1579.17,2523.09,2039.7,2928.17,8727.68,11611.2,2337.2,1732.79,910.72,1384.1,1255.92,892.87,14.6,14.6,14.6,750.24,538.04,845.45,324.79,349.54,254.55,489.47,274.02,3481.47,3949.64,7397.42,5582.16,1823.7,1823.7,24.4,24.4,2.4,115.23,115.23,98.45,6376.06,3595.06,7379.55,4692.92
3,,Шов NaCl,118,65.99,4.9,4.9,4.9,8.87,4.9,0.23,4.9,12.2,167,12.2,12.2,4168.49,1056,12.2,12.2,39.43,34.3,4.9,4.9,527.72,254.3,52.13,2.4,8.7,365,4.54,12.2,1578.18,73.2,73.2,73.2,188.88,27.3,4.9,4.9,198.11,895,7.3,7.3,211.64,210,12.2,12.2,480.54,122.4,11.09,6.73,10385.72,8671.72,8451.19,20.01,27.43,244.62,46.88,2.4,306.4,87.8,14.6,14.6,33.33,506.77,18.73,4.9,50.63,94.5,7.3,7.3,1072.53,1069.35,201.02,12.2,766.3,4275.93,1270.62,29.3,412.02,625.56,429.62,5.94,161.92,233.2,14.6,14.6,58.44,393.75,23.72,4.9,20.45,256.74,19.81,2.4,2926.47,2084.81,2033.46,196.7,83.3,1435.8,24.4,24.4,2.4,136,2.4,2.4,2773.21,5299.92,7213.29,71.87
4,,Шов NaCl,119,4.9,4.9,4.9,4.9,0.23,1.59,4.9,4.9,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.2,4.9,4.9,4.9,4.9,2.4,27.16,17.23,2.4,1.98,11.3,1.75,12.2,73.2,73.2,73.2,73.2,4.9,4.9,4.9,4.9,7.3,1.75,7.3,7.3,12.2,392.22,12.2,12.2,71.62,10.04,10.75,0.2,6287.72,485.69,2614.21,14.6,4.53,3.44,9.72,2.4,14.6,14.6,14.6,14.6,55.21,74.19,4.9,4.9,7.3,17.97,7.3,7.3,19.29,105.79,337.29,12.2,514.68,1083.72,1322.14,29.3,54.23,69.41,71.27,2.4,14.6,14.6,14.6,14.6,4.9,4.9,9.09,4.9,4.51,4.98,14.81,2.4,443.38,1002.54,815.81,24.4,24.4,0.47,24.4,24.4,9.71,36.76,2.4,2.4,2004.67,1330.23,2375.04,4.9
6,,Шов VF,120,4.9,130.12,4.9,4.9,2.8,26.19,0.92,3.23,12.2,883.64,12.2,12.2,783.58,803.53,12.2,1715.45,4.9,229.6,4.9,4.9,475.74,487.9,275.01,726.68,9.02,162.22,4.82,6.85,73.2,2634.48,73.2,67.09,4.9,324.83,4.9,4.9,72.22,357.27,57.04,168.39,270.76,1853.43,211.64,280.09,195.15,128.04,65.62,535.18,17438.47,7036.88,10737.34,22866.62,38.73,22.49,17.8,33.36,210.82,493.53,14.6,236.06,13.96,206.07,26.07,33.33,1.94,194.16,7.3,7.3,1436.73,568.33,1071.54,3707.79,1478.83,2541.31,1365.99,1216.43,464.49,506.48,416.69,844.34,14.6,351.33,14.6,69.07,66.77,42.01,48.25,91.12,31.44,40.6,31.33,36.74,2312.87,1283,3346.21,1081.73,0.47,192.87,24.4,21.3,2.4,155.88,0.44,7.38,1826.77,1190.55,979.7,1966.87
7,,Шов VF,121,4.9,200.46,4.9,4.9,0.06,37.78,2.16,2.45,12.2,1206.16,12.2,12.2,12.2,1027.8,12.2,1393.56,4.9,306.03,4.9,4.9,59.66,395.05,32.35,404.6,4,263.08,8.7,7.46,73.2,3734.64,73.2,73.2,4.9,413.48,4.9,4.9,1.32,208.57,0.41,35.71,12.2,2412.76,12.2,12.2,17.5,321.54,49.85,410.02,10536.69,21086.63,5581.12,21370.23,10.53,37.86,11.77,19.6,14.6,754.57,14.6,16.79,4.9,251.32,31.99,18.73,7.3,261.96,12.57,1.94,126.86,2129.99,330.88,3692.04,388.88,3143.6,766.3,742.89,306.37,538.3,218.71,474.51,14.6,480.52,14.6,14.6,8.98,178.08,5.16,73.26,6.44,112.84,6.95,17.32,1055.21,4619.88,726.93,1639.47,24.4,271.61,24.4,17.84,2.4,198.67,11.81,2.4,5336.8,1719.85,2970.93,6420.86
8,,Шов VF,122,52.99,4.9,4.9,4.9,13.59,2.02,2.31,1.44,408.17,12.2,12.2,12.2,513.79,167.6,426.79,361.58,118.73,4.9,4.9,4.9,316.84,121.98,207.13,65.35,76.24,14.72,8.7,7.46,1200.73,73.2,73.2,73.2,178.02,4.9,4.66,4.9,88.69,6.12,24.77,5.27,1035.7,12.2,168.26,211.64,189.95,117.64,246.94,181.26,12202.27,13348.18,6694.94,13054.34,23,18.75,46.04,9.47,194.68,14.6,14.6,14.6,130.8,40.58,37.1,37.1,112.11,13.94,2.82,7.3,1163.21,451.66,1656.31,611.8,1746.15,1024.36,810.3,730.79,320.14,311.32,321.16,276.92,189.57,14.6,14.6,14.6,63.98,42.01,62.45,12.93,36.5,14.21,11.9,8.07,1374.67,1274.17,1374.14,852.43,103.9,23.33,98.39,0.47,92.24,15.58,8.58,7.38,4094.15,5146.1,2385.88,1165.39
9,,Шов VF,123,4.9,70.78,4.9,4.9,4.27,13.98,1.15,0.06,12.2,474.67,12.2,12.2,485.67,2040.93,91.34,1304.79,4.9,118.73,4.9,4.9,274.54,1542.77,133.2,147.8,15.07,73.29,13.33,0.7,73.2,1338.06,73.2,73.2,26.7,193.43,47.57,4.9,67.24,46.78,33.37,25.57,270.76,1008,342.33,12.2,172.17,649.23,65.55,160.82,13772.89,15125.33,10703.84,20408.31,16.16,21.84,12.28,9.35,186.42,313.25,14.6,14.6,52.56,137.85,54.34,7.04,31.23,107.51,7.3,7.3,777.89,3468.84,619.87,740.07,730.79,1782.56,1039.62,1111.88,396.3,190.21,271.5,332.09,16.15,215.39,36.3,14.6,24.82,91.71,7.92,16.81,20.03,43.8,13.53,13.72,2461.2,1729.48,1944.75,1944.75,17.84,112.62,23.33,9.08,7.38,91.44,20.56,2.4,10961.63,2957.8,4038.65,2719.93
10,,Шов VF,124,,131.72,4.9,4.9,,26.19,2.31,4.9,,856.22,12.2,12.2,,726.11,34.9,711.74,,216.47,4.9,4.9,,131.68,448.66,413.22,,172.65,11.3,3.47,73.2,2388.51,73.2,73.2,,298.45,26.7,4.9,,72.22,318.9,164.15,,1691.68,221.92,12.2,,38.98,46.01,245.05,,5391.15,5712.2,14471.1,,22.35,6.35,13.4,,461.48,14.6,14.6,,194.07,38.29,4.9,,204.03,7.55,7.3,,481.57,268.08,758.99,,2635.14,992.93,4517.5,,155.84,521.63,379.3,,342.57,14.6,14.6,,44.12,6.68,49.19,,38.78,10.68,16.1,,1328.77,1068.22,1554.36,,192.87,1.52,24.4,,152.08,26.45,2.4,,1051.06,1019.65,1092.31
